EC 1.1.1.1	 alcohol dehydrogenase
EC 1.2.1.19	 aminobutyraldehyde dehydrogenase
EC 1.2.1.20	 glutarate-semialdehyde dehydrogenase
EC 1.2.1.21	 glycolaldehyde dehydrogenase
EC 1.2.1.22	 lactaldehyde dehydrogenase
EC 1.2.1.23	 2-oxoaldehyde dehydrogenase (NAD+)
EC 1.2.1.24	 succinate-semialdehyde dehydrogenase
EC 1.2.1.25	 2-oxoisovalerate dehydrogenase (acylating)
EC 1.2.1.26	 2,5-dioxovalerate dehydrogenase
EC 1.2.1.27	 methylmalonate-semialdehyde dehydrogenase (acylating)
EC 1.2.1.28	 benzaldehyde dehydrogenase (NAD+)
EC 1.2.1.29	 aryl-aldehyde dehydrogenase
EC 1.2.1.30	 aryl-aldehyde dehydrogenase (NADP+)
EC 1.2.1.31	 L-aminoadipate-semialdehyde dehydrogenase
EC 1.2.1.32	 aminomuconate-semialdehyde dehydrogenase
EC 1.2.1.33	 (R)-dehydropantoate dehydrogenase
EC 1.2.1.34	 deleted, included in *EC 1.1.1.131
EC 1.2.1.35	 now *EC 1.1.1.203
EC 1.2.1.36	 retinal dehydrogenase
EC 1.2.1.37	 now *EC 1.1.1.204
EC 1.2.1.38	 N-acetyl-g-glutamyl-phosphate reductase
EC 1.2.1.39	 phenylacetaldehyde dehydrogenase
EC 1.2.1.40	 3a,7a,12a-trihydroxycholestan-26-al 26-oxidoreductase
EC 1.2.1.41	 glutamate-5-semialdehyde dehydrogenase
EC 1.2.1.42	 hexadecanal dehydrogenase (acylating)
EC 1.2.1.43	 formate dehydrogenase (NADP+)
EC 1.2.1.44	 cinnamoyl-CoA reductase
EC 1.2.1.45	 4-carboxy-2-hydroxymuconate-6-semialdehyde dehydrogenase
EC 1.2.1.46	 formaldehyde dehydrogenase
EC 1.2.1.47	 4-trimethylammoniobutyraldehyde dehydrogenase
EC 1.2.1.48	 long-chain-aldehyde dehydrogenase
EC 1.2.1.49	 2-oxoaldehyde dehydrogenase (NADP+)
EC 1.2.1.50	 long-chain-fatty-acyl-CoA reductase
EC 1.2.1.51	 pyruvate dehydrogenase (NADP+)
EC 1.2.1.52	 oxoglutarate dehydrogenase (NADP+)
EC 1.2.1.53	 4-hydroxyphenylacetaldehyde dehydrogenase
EC 1.2.1.54	 g-guanidinobutyraldehyde dehydrogenase
EC 1.2.1.55	 now *EC 1.1.1.279
EC 1.2.1.56	 now *EC 1.1.1.280
EC 1.2.1.57	 butanal dehydrogenase
EC 1.2.1.58	 phenylglyoxylate dehydrogenase (acylating)
EC 1.2.1.59	 glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+)
EC 1.2.1.60	 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
EC 1.2.1.61	 4-hydroxymuconic-semialdehyde dehydrogenase
EC 1.2.1.62	 4-formylbenzenesulfonate dehydrogenase
EC 1.2.1.63	 6-oxohexanoate dehydrogenase
EC 1.2.1.64	 4-hydroxybenzaldehyde dehydrogenase
EC 1.2.1.65	 salicylaldehyde dehydrogenase
EC 1.2.1.66	 mycothiol-dependent formaldehyde dehydrogenase
EC 1.2.1.67	 vanillin dehydrogenase
EC 1.2.1.68	 coniferyl-aldehyde dehydrogenase
EC 1.2.1.69	 fluoroacetaldehyde dehydrogenase
EC 1.2.1.70	 glutamyl-tRNA reductase
EC 1.2.1.71	 succinylglutamate-semialdehyde dehydrogenase
EC 1.2.1.72	 erythrose-4-phosphate dehydrogenase
EC 1.2.1.73	 sulfoacetaldehyde dehydrogenase
EC 1.2.1.74	 abieta-7,13-dien-18-al dehydrogenase
EC 1.2.1.75	 malonyl CoA reductase (malonate semialdehyde-forming)
EC 1.2.1.76	 succinate-semialdehyde dehydrogenase (acylating)
EC 1.2.1.77	 3,4-dehydroadipyl-CoA semialdehyde dehydrogenase (NADP+)
EC 1.2.1.78	 2-formylbenzoate dehydrogenase
EC 1.2.1.79	 succinate-semialdehyde dehydrogenase (NADP+)
EC 1.2.1.80	 long-chain acyl-(acyl-carrier-protein) reductase
EC 1.2.1.81	 sulfoacetaldehyde dehydrogenase (acylating)
EC 1.2.1.82	 beta-apo-4'-carotenal oxygenase
EC 1.2.1.83	 3-succinoylsemialdehyde-pyridine dehydrogenase
EC 1.2.1.84	 alcohol-forming fatty acyl-CoA reductase
EC 1.2.1.85	 2-hydroxymuconate-6-semialdehyde dehydrogenase
EC 1.2.1.86	 geranial dehydrogenase
EC 1.2.2.1	 formate dehydrogenase (cytochrome)
EC 1.2.2.2	 pyruvate dehydrogenase (cytochrome)
EC 1.2.2.3	 formate dehydrogenase (cytochrome-c-553)
EC 1.2.2.4	 carbon-monoxide dehydrogenase (cytochrome b-561)
EC 1.2.3.1	 aldehyde oxidase
EC 1.2.3.2	 now *EC 1.1.3.22
EC 1.2.3.3	 pyruvate oxidase
EC 1.2.3.4	 oxalate oxidase
EC 1.2.3.5	 glyoxylate oxidase
EC 1.2.3.6	 pyruvate oxidase (CoA-acetylating)
EC 1.2.3.7	 indole-3-acetaldehyde oxidase
EC 1.2.3.8	 pyridoxal oxidase
EC 1.2.3.9	 aryl-aldehyde oxidase
EC 1.2.3.10	 deleted
EC 1.2.3.11	 retinal oxidase
EC 1.2.3.12	 now *EC 1.14.13.82
EC 1.2.3.13	 4-hydroxyphenylpyruvate oxidase
EC 1.2.3.14	 Abscisic-aldehyde oxidase
EC 1.2.4.1	 pyruvate dehydrogenase (acetyl-transferring)
EC 1.2.4.2	 oxoglutarate dehydrogenase (succinyl-transferring)
EC 1.2.4.3	 deleted, included in EC 1.2.4.4
EC 1.2.4.4	 3-methyl-2-oxobutanoate dehydrogenase
EC 1.2.5.1	 pyruvate dehydrogenase (quinone)
EC 1.2.7.1	 pyruvate synthase
EC 1.2.7.2	 deleted
EC 1.2.7.3	 2-oxoglutarate synthase
EC 1.2.7.4	 carbon-monoxide dehydrogenase (ferredoxin)
EC 1.2.7.5	 aldehyde ferredoxin oxidoreductase
EC 1.2.7.6	 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin)
EC 1.2.7.7	 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin)
EC 1.2.7.8	 indolepyruvate ferredoxin oxidoreductase
EC 1.2.7.9	 deleted, identical to *EC 1.2.7.3
EC 1.2.7.10	 oxalate oxidoreductase
EC 1.2.99.1	 now *EC 1.1.99.19
EC 1.2.99.2	 carbon-monoxide dehydrogenase (acceptor)
EC 1.2.99.3	 aldehyde dehydrogenase (pyrroloquinoline-quinone)
EC 1.2.99.4	 formaldehyde dismutase
EC 1.2.99.5	 formylmethanofuran dehydrogenase
EC 1.2.99.6	 carboxylate reductase
EC 1.2.99.7	 aldehyde dehydrogenase (FAD-independent)
EC 1.3.1.1	 dihydrouracil dehydrogenase (NAD+)
EC 1.3.1.2	 dihydropyrimidine dehydrogenase (NADP+)
EC 1.3.1.3	 cortisone b-reductase
EC 1.3.1.4	 cortisone a-reductase
EC 1.3.1.5	 cucurbitacin D23-reductase
EC 1.3.1.6	 fumarate reductase (NADH)
EC 1.3.1.7	 meso-tartrate dehydrogenase
EC 1.3.1.8	 acyl-CoA dehydrogenase (NADP+)
EC 1.3.1.9	 enoyl-(acyl-carrier-protein) reductase (NADH)
EC 1.3.1.10	 enoyl-(acyl-carrier-protein) reductase (NADPH, B-specific)
EC 1.3.1.11	 2-coumarate reductase
EC 1.3.1.12	 prephenate dehydrogenase
EC 1.3.1.13	 prephenate dehydrogenase (NADP+)
EC 1.3.1.14	 orotate reductase (NADH)
EC 1.3.1.15	 orotate reductase (NADPH)
EC 1.3.1.16	 b-nitroacrylate reductase
EC 1.3.1.17	 3-methyleneoxindole reductase
EC 1.3.1.18	 kynurenate-7,8-dihydrodiol dehydrogenase
EC 1.3.1.19	 cis-1,2-dihydrobenzene-1,2-diol dehydrogenase
EC 1.3.1.20	 trans-1,2-dihydrobenzene-1,2-diol dehydrogenase
EC 1.3.1.21	 7-dehydrocholesterol reductase
EC 1.3.1.22	 cholestenone 5a-reductase
EC 1.3.1.23	 cholestenone 5b-reductase is identical to EC 1.3.1.3, Δ4-3-oxosteroid 5β-reductase
EC 1.3.1.24	 biliverdin reductase
EC 1.3.1.25	 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase
EC 1.3.1.26	 now EC 1.17.1.8
EC 1.3.1.27	 2-hexadecenal reductase
EC 1.3.1.28	 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase
EC 1.3.1.29	 cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase
EC 1.3.1.30	 progesterone 5a-reductase
EC 1.3.1.31	 2-enoate reductase
EC 1.3.1.32	 maleylacetate reductase
EC 1.3.1.33	 protochlorophyllide reductase
EC 1.3.1.34	 2,4-dienoyl-CoA reductase (NADPH)
EC 1.3.1.35	 phosphatidylcholine desaturase
EC 1.3.1.36	 geissoschizine dehydrogenase
EC 1.3.1.37	 cis-2-enoyl-CoA reductase (NADPH)
EC 1.3.1.38	 trans-2-enoyl-CoA reductase (NADPH)
EC 1.3.1.39	 enoyl-(acyl-carrier-protein) reductase (NADPH, A-specific)
EC 1.3.1.40	 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate reductase
EC 1.3.1.41	 xanthommatin reductase
EC 1.3.1.42	 12-oxophytodienoate reductase
EC 1.3.1.43	 arogenate dehydrogenase
EC 1.3.1.44	 trans-2-enoyl-CoA reductase (NAD+)
EC 1.3.1.45	 2'-hydroxyisoflavone reductase
EC 1.3.1.46	 biochanin-A reductase
EC 1.3.1.47	 a-santonin 1,2-reductase
EC 1.3.1.48	 15-oxoprostaglandin 13-oxidase
EC 1.3.1.49	 cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase
EC 1.3.1.50	 now *EC 1.1.1.252
EC 1.3.1.51	 2'-hydroxydaidzein reductase
EC 1.3.1.52	 2-methyl-branched-chain-enoyl-CoA reductase
EC 1.3.1.53	 (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase
EC 1.3.1.54	 precorrin-6A reductase
EC 1.3.1.55	 now *EC 1.3.1.25
EC 1.3.1.56	 cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase
EC 1.3.1.57	 phloroglucinol reductase
EC 1.3.1.58	 2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase
EC 1.3.1.59	 1,2-dihydroxy-3-methyl-1,2-dihydrobenzoate dehydrogenase. There is no evidence that the enzyme exists.
EC 1.3.1.60	 dibenzothiophene dihydrodiol dehydrogenase
EC 1.3.1.61	 terephthalate 1,2-cis-dihydrodiol dehydrogenase
EC 1.3.1.62	 pimeloyl-CoA dehydrogenase
EC 1.3.1.63	 2,4-dichlorobenzoyl-CoA reductase
EC 1.3.1.64	 phthalate 4,5-cis-dihydrodiol dehydrogenase
EC 1.3.1.65	 5,6-dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline dehydrogenase
EC 1.3.1.66	 cis-dihydroethylcatechol dehydrogenase
EC 1.3.1.67	 cis-1,2-dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate dehydrogenase
EC 1.3.1.68	 1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase
EC 1.3.1.69	 zeatin reductase
EC 1.3.1.70	 D14-sterol reductase
EC 1.3.1.71	 D24(241)-sterol reductase
EC 1.3.1.72	 D24-sterol reductase
EC 1.3.1.73	 1,2-dihydrovomilenine reductase
EC 1.3.1.74	 2-alkenal reductase
EC 1.3.1.75	 divinyl chlorophyllide a 8-vinyl-reductase
EC 1.3.1.76	 precorrin-2 dehydrogenase
EC 1.3.1.77	 anthocyanidin reductase
EC 1.3.1.78	 arogenate dehydrogenase (NADP+)
EC 1.3.1.79	 arogenate dehydrogenase (NADP+)
EC 1.3.1.80	 red chlorophyll catabolite reductase
EC 1.3.1.81	 (+)-pulegone reductase
EC 1.3.1.82	 (-)-isopiperitenone reductase
EC 1.3.1.83	 geranylgeranyl diphosphate reductase
EC 1.3.1.84	 acrylyl-CoA reductase (NADPH)
EC 1.3.1.85	 crotonyl-CoA carboxylase/reductase
EC 1.3.1.86	 crotonyl-CoA reductase
EC 1.3.1.87	 3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase
EC 1.3.1.88	 tRNA-dihydrouridine16/17 synthase (NAD(P)+)
EC 1.3.1.89	 tRNA-dihydrouridine47 synthase (NAD(P)+)
EC 1.3.1.90	 tRNA-dihydrouridine20a/20b synthase (NAD(P)+)
EC 1.3.1.91	 tRNA-dihydrouridine20 synthase (NAD(P)+)
EC 1.3.1.92	 artemisinic aldehyde Delta11(13)-reductase
EC 1.3.1.93	 very-long-chain enoyl-CoA reductase
EC 1.3.1.94	 polyprenol reductase
EC 1.3.1.95	 acrylyl-CoA reductase (NADH)
EC 1.3.1.96	 Botryococcus squalene synthase
EC 1.3.1.97	 botryococcene synthase
EC 1.3.2.1	 now EC 1.3.99.2
EC 1.3.2.2	 now EC 1.3.99.3
EC 1.3.2.3	 galactonolactone dehydrogenase
EC 1.3.3.1	 dihydroorotate oxidase
EC 1.3.3.2	 lathosterol oxidase
EC 1.3.3.3	 coproporphyrinogen oxidase
EC 1.3.3.4	 protoporphyrinogen oxidase
EC 1.3.3.5	 bilirubin oxidase
EC 1.3.3.6	 acyl-CoA oxidase
EC 1.3.3.7	 dihydrouracil oxidase
EC 1.3.3.8	 tetrahydroberberine oxidase
EC 1.3.3.9	 secologanin synthase
EC 1.3.3.10	 tryptophan a,b-oxidase
EC 1.3.3.11	 pyrroloquinoline-quinone synthase
EC 1.3.3.12	 L-galactonolactone oxidase
EC 1.3.5.1	 succinate dehydrogenase (quinone)
EC 1.3.5.2	 dihydroorotate dehydrogenase (quinone)
EC 1.3.5.3	 protoporphyrinogen IX dehydrogenase (menaquinone)
EC 1.3.5.4	 fumarate reductase (quinol)
EC 1.3.5.5	 15-cis-phytoene desaturase
EC 1.3.5.6	 9,9'-dicis-zeta-carotene desaturase
EC 1.3.7.1	 6-hydroxynicotinate reductase
EC 1.3.7.2	 15,16-dihydrobiliverdin:ferredoxin oxidoreductase
EC 1.3.7.3	 phycoerythrobilin:ferredoxin oxidoreductase
EC 1.3.7.4	 phytochromobilin:ferredoxin oxidoreductase
EC 1.3.7.5	 phycocyanobilin:ferredoxin oxidoreductase
EC 1.3.7.6	 phycoerythrobilin synthase
EC 1.3.7.7	 ferredoxin:protochlorophyllide reductase (ATP-dependent)
EC 1.3.7.8	 benzoyl-CoA reductase
EC 1.3.7.9	 4-hydroxybenzoyl-CoA reductase
EC 1.3.7.10	 pentalenolactone synthase
EC 1.3.7.15	 chlorophyllide a reductase
EC 1.3.8.1	 short-chain acyl-CoA dehydrogenase
EC 1.3.8.2	 4,4'-diapophytoene desaturase
EC 1.3.8.3	 (R)-benzylsuccinyl-CoA dehydrogenase
EC 1.3.8.4	 isovaleryl-CoA dehydrogenase
EC 1.3.8.5	 2-methyl-branched-chain-enoyl-CoA reductase
EC 1.3.8.6	 glutaryl-CoA dehydrogenase
EC 1.3.8.7	 medium-chain acyl-CoA dehydrogenase
EC 1.3.8.8	 long-chain acyl-CoA dehydrogenase
EC 1.3.8.9	 very-long-chain acyl-CoA dehydrogenase
EC 1.3.98.1	 dihydroorotate dehydrogenase (fumarate)
EC 1.3.99.1	 deleted
EC 1.3.99.2	 now EC 1.3.8.1
EC 1.3.99.3	 now EC 1.3.8.7, EC 1.3.8.8 and EC 1.3.8.9
EC 1.3.99.4	 3-oxosteroid 1-dehydrogenase
EC 1.3.99.5	 3-oxo-5a-steroid 4-dehydrogenase
EC 1.3.99.6	 3-oxo-5b-steroid 4-dehydrogenase
EC 1.3.99.7	 now EC 1.3.8.6
EC 1.3.99.8	 2-furoyl-CoA dehydrogenase
EC 1.3.99.9	 now *EC 1.21.99.1
EC 1.3.99.10	 now EC 1.3.8.4
EC 1.3.99.11	 dihydroorotate dehydrogenase
EC 1.3.99.12	 2-methylacyl-CoA dehydrogenase
EC 1.3.99.13	 now *EC 1.3.8.8
EC 1.3.99.14	 cyclohexanone dehydrogenase
EC 1.3.99.15	 benzoyl-CoA reductase
EC 1.3.99.16	 isoquinoline 1-oxidoreductase
EC 1.3.99.17	 quinoline 2-oxidoreductase
EC 1.3.99.18	 quinaldate 4-oxidoreductase
EC 1.3.99.19	 quinoline-4-carboxylate 2-oxidoreductase
EC 1.3.99.20	 4-hydroxybenzoyl-CoA reductase
EC 1.3.99.21	 (R)-benzylsuccinyl-CoA dehydrogenase
EC 1.3.99.22	 coproporphyrinogen dehydrogenase
EC 1.3.99.23	 all-trans-retinol 13,14-reductase
EC 1.3.99.24	 2-amino-4-deoxychorismate dehydrogenase
EC 1.3.99.25	 carvone reductase
EC 1.3.99.26	 all-trans-zeta-carotene desaturase
EC 1.3.99.27	 1-hydroxycarotenoid 3,4-desaturase
EC 1.3.99.28	 phytoene desaturase (neurosporene-forming)
EC 1.3.99.29	 phytoene desaturase (zeta-carotene-forming)
EC 1.3.99.30	 phytoene desaturase (3,4-didehydrolycopene-forming)
EC 1.3.99.31	 phytoene desaturase (lycopene-forming)
EC 1.3.99.32	 glutaryl-CoA dehydrogenase (non-decarboxylating)
EC 1.4.1.1	 alanine dehydrogenase
EC 1.4.1.2	 glutamate dehydrogenase
EC 1.4.1.3	 glutamate dehydrogenase (NAD(P)+)
EC 1.4.1.4	 glutamate dehydrogenase (NADP+)
EC 1.4.1.5	 L-amino-acid dehydrogenase
EC 1.4.1.6	 deleted, included in *EC 1.4.4.1
EC 1.4.1.7	 serine 2-dehydrogenase
EC 1.4.1.8	 valine dehydrogenase (NADP+)
EC 1.4.1.9	 leucine dehydrogenase
EC 1.4.1.10	 glycine dehydrogenase
EC 1.4.1.11	 L-erythro-3,5-diaminohexanoate dehydrogenase
EC 1.4.1.12	 2,4-diaminopentanoate dehydrogenase
EC 1.4.1.13	 glutamate synthase (NADPH)
EC 1.4.1.14	 glutamate synthase (NADH)
EC 1.4.1.15	 lysine dehydrogenase
EC 1.4.1.16	 diaminopimelate dehydrogenase
EC 1.4.1.17	 N-methylalanine dehydrogenase
EC 1.4.1.18	 lysine 6-dehydrogenase
EC 1.4.1.19	 tryptophan dehydrogenase
EC 1.4.1.20	 phenylalanine dehydrogenase
EC 1.4.1.21	 aspartate dehydrogenase
EC 1.4.1.22	 ornithine cyclodeaminase
EC 1.4.1.23	 valine dehydrogenase (NAD+)
EC 1.4.1.24	 3-dehydroquinate synthase II
EC 1.4.2.1	 glycine dehydrogenase (cytochrome)
EC 1.4.3.1	 D-aspartate oxidase
EC 1.4.3.2	 L-amino-acid oxidase
EC 1.4.3.3	 D-amino-acid oxidase
EC 1.4.3.4	 amine oxidase (flavin-containing)
EC 1.4.3.5	 pyridoxamine-phosphate oxidase
EC 1.4.3.6	 amine oxidase (copper-containing)
EC 1.4.3.7	 D-glutamate oxidase
EC 1.4.3.8	 ethanolamine oxidase
EC 1.4.3.9	 deleted, included in *EC 1.4.3.4
EC 1.4.3.10	 putrescine oxidase
EC 1.4.3.11	 L-glutamate oxidase
EC 1.4.3.12	 cyclohexylamine oxidase
EC 1.4.3.13	 protein-lysine 6-oxidase
EC 1.4.3.14	 L-lysine oxidase
EC 1.4.3.15	 D-glutamate(D-aspartate) oxidase
EC 1.4.3.16	 L-aspartate oxidase
EC 1.4.3.17	 now *EC 1.3.3.10
EC 1.4.3.18	 deleted, not approved
EC 1.4.3.19	 glycine oxidase
EC 1.4.3.20	 L-lysine 6-oxidase
EC 1.4.3.21	 primary-amine oxidase
EC 1.4.3.22	 diamine oxidase
EC 1.4.3.23	 7-chloro-L-tryptophan oxidase
EC 1.4.3.24	 pseudooxynicotine oxidase
EC 1.4.4.1	 now EC 1.21.4.1
EC 1.4.4.2	 glycine dehydrogenase (decarboxylating)
EC 1.4.5.1	 D-amino acid dehydrogenase (quinone)
EC 1.4.7.1	 glutamate synthase (ferredoxin)
EC 1.4.9.1	 methylamine dehydrogenase (amicyanin)
EC 1.4.9.2	 aralkylamine dehydrogenase (azurin)
EC 1.4.98.1	 methylamine dehydrogenase (amicyanin)
EC 1.4.99.1	 D-amino acid dehydrogenase
EC 1.4.99.2	 taurine dehydrogenase
EC 1.4.99.3	 amine dehydrogenase
EC 1.4.99.4	 aralkylamine dehydrogenase
EC 1.4.99.5	 glycine dehydrogenase (cyanide-forming)
EC 1.5.1.1	 pyrroline-2-carboxylate reductase
EC 1.5.1.2	 pyrroline-5-carboxylate reductase
EC 1.5.1.3	 dihydrofolate reductase
EC 1.5.1.4	 deleted, included in *EC 1.5.1.3
EC 1.5.1.5	 methylenetetrahydrofolate dehydrogenase (NADP+)
EC 1.5.1.6	 formyltetrahydrofolate dehydrogenase
EC 1.5.1.7	 saccharopine dehydrogenase (NAD+, L-lysine-forming)
EC 1.5.1.8	 saccharopine dehydrogenase (NADP+, L-lysine-forming)
EC 1.5.1.9	 saccharopine dehydrogenase (NAD+, L-glutamate-forming)
EC 1.5.1.10	 saccharopine dehydrogenase (NADP+, L-glutamate-forming)
EC 1.5.1.11	 D-octopine dehydrogenase
EC 1.5.1.12	 now EC 1.2.1.88
EC 1.5.1.13	 now *EC 1.17.1.5
EC 1.5.1.14	 deleted, included in *EC 1.5.1.21
EC 1.5.1.15	 methylenetetrahydrofolate dehydrogenase (NAD+)
EC 1.5.1.16	 D-lysopine dehydrogenase
EC 1.5.1.17	 alanopine dehydrogenase
EC 1.5.1.18	 ephedrine dehydrogenase
EC 1.5.1.19	 D-nopaline dehydrogenase
EC 1.5.1.20	 methylenetetrahydrofolate reductase (NAD(P)H)
EC 1.5.1.21	 D1-piperideine-2-carboxylate reductase
EC 1.5.1.22	 strombine dehydrogenase
EC 1.5.1.23	 tauropine dehydrogenase
EC 1.5.1.24	 N5-(carboxyethyl)ornithine synthase
EC 1.5.1.25	 thiomorpholine-carboxylate dehydrogenase
EC 1.5.1.26	 b-alanopine dehydrogenase
EC 1.5.1.27	 1,2-dehydroreticulinium reductase (NADPH)
EC 1.5.1.28	 opine dehydrogenase
EC 1.5.1.29	 FMN reductase
EC 1.5.1.30	 flavin reductase
EC 1.5.1.31	 berberine reductase
EC 1.5.1.32	 vomilenine reductase
EC 1.5.1.33	 pteridine reductase
EC 1.5.1.34	 6,7-dihydropteridine reductase
EC 1.5.1.35	 1-pyrroline dehydrogenase
EC 1.5.1.36	 flavin reductase (NADH)
EC 1.5.1.37	 FAD reductase (NADH)
EC 1.5.1.38	 FMN reductase (NADPH)
EC 1.5.1.39	 FMN reductase (NAD(P)H)
EC 1.5.1.40	 8-hydroxy-5-deazaflavin:NADPH oxidoreductase
EC 1.5.1.41	 riboflavin reductase (NAD(P)H)
EC 1.5.1.42	 FMN reductase (NADH)
EC 1.5.1.43	 carboxynorspermidine synthase
EC 1.5.1.44	 festuclavine dehydrogenase
EC 1.5.1.45	 FAD reductase (NAD(P)H)
EC 1.5.3.1	 sarcosine oxidase
EC 1.5.3.2	 N-methyl-L-amino-acid oxidase
EC 1.5.3.3	 deleted
EC 1.5.3.4	 N6-methyl-lysine oxidase
EC 1.5.3.5	 (S)-6-hydroxynicotine oxidase
EC 1.5.3.6	 (R)-6-hydroxynicotine oxidase
EC 1.5.3.7	 L-pipecolate oxidase
EC 1.5.3.8	 deleted, included in *EC 1.3.3.8
EC 1.5.3.9	 now *EC 1.21.3.3
EC 1.5.3.10	 dimethylglycine oxidase
EC 1.5.3.11	 polyamine oxidase
EC 1.5.3.12	 dihydrobenzophenanthridine oxidase
EC 1.5.3.13	 N1-acetylpolyamine oxidase
EC 1.5.3.14	 polyamine oxidase (propane-1,3-diamine-forming)
EC 1.5.3.15	 N8-acetylspermidine oxidase (propane-1,3-diamine-forming)
EC 1.5.3.16	 spermine oxidase
EC 1.5.3.17	 non-specific polyamine oxidase
EC 1.5.3.18	 L-saccharopine oxidase
EC 1.5.3.19	 4-methylaminobutanoate oxidase (formaldehyde-forming)
EC 1.5.3.20	 N-alkylglycine oxidase
EC 1.5.3.21	 4-methylaminobutanoate oxidase (methylamine-forming)
EC 1.5.4.1	 pyrimidodiazepine synthase
EC 1.5.5.1	 electron-transferring-flavoprotein dehydrogenase
EC 1.5.7.1	 methylenetetrahydrofolate reductase (ferredoxin)
EC 1.5.8.1	 dimethylamine dehydrogenase
EC 1.5.8.2	 trimethylamine dehydrogenase
EC 1.5.8.3	 sarcosine dehydrogenase
EC 1.5.8.4	 dimethylglycine dehydrogenase
EC 1.5.99.1	 now EC 1.5.8.3
EC 1.5.99.2	 now EC 1.5.8.4
EC 1.5.99.3	 L-pipecolate dehydrogenase
EC 1.5.99.4	 nicotine dehydrogenase
EC 1.5.99.5	 methylglutamate dehydrogenase
EC 1.5.99.6	 spermidine dehydrogenase
EC 1.5.99.7	 now *EC 1.5.8.2
EC 1.5.99.8	 proline dehydrogenase
EC 1.5.99.9	 methylenetetrahydromethanopterin dehydrogenase
EC 1.5.99.10	 now *EC 1.5.8.1
EC 1.5.99.11	 5,10-methylenetetrahydromethanopterin reductase
EC 1.5.99.12	 cytokinin dehydrogenase
EC 1.5.99.13	 D-proline dehydrogenase
EC 1.5.99.14	 6-hydroxypseudooxynicotine dehydrogenase
EC 1.6.1.1	 NAD(P)+ transhydrogenase (Si-specific)
EC 1.6.1.2	 NAD(P)+ transhydrogenase (Re/Si-specific)
EC 1.6.2.1	 now EC 1.6.99.3
EC 1.6.2.2	 cytochrome-b5 reductase
EC 1.6.2.3	 deleted
EC 1.6.2.4	 NADPH—hemoprotein reductase
EC 1.6.2.5	 NADPH—cytochrome-c2 reductase
EC 1.6.2.6	 leghemoglobin reductase
EC 1.6.3.1	 NAD(P)H oxidase
EC 1.6.4.1	 now EC 1.8.1.6
EC 1.6.4.2	 now EC 1.8.1.7
EC 1.6.4.3	 now EC 1.8.1.4
EC 1.6.4.4	 now EC 1.8.1.8
EC 1.6.4.5	 now EC 1.8.1.9
EC 1.6.4.6	 now EC 1.8.1.10
EC 1.6.4.7	 now EC 1.8.1.11
EC 1.6.4.8	 now EC 1.8.1.12
EC 1.6.4.9	 now EC 1.8.1.13
EC 1.6.4.10	 now EC 1.8.1.14
EC 1.6.5.1	 deleted
EC 1.6.5.2	 NAD(P)H dehydrogenase (quinone)
EC 1.6.5.3	 now EC 7.1.1.2
EC 1.6.5.4	 monodehydroascorbate reductase (NADH)
EC 1.6.5.5	 NADPH:quinone reductase
EC 1.6.5.6	 p-benzoquinone reductase (NADPH)
EC 1.6.5.7	 2-hydroxy-1,4-benzoquinone reductase
EC 1.6.5.8	 NADH:ubiquinone reductase (Na+-transporting)
EC 1.6.5.9	 NADH:ubiquinone reductase (non-electrogenic)
EC 1.6.5.10	 NADPH dehydrogenase (quinone)
EC 1.6.6.1	 now *EC 1.7.1.1
EC 1.6.6.2	 now *EC 1.7.1.2
EC 1.6.6.3	 now *EC 1.7.1.3
EC 1.6.6.4	 now *EC 1.7.1.4
EC 1.6.6.5	 now *EC 1.7.99.3
EC 1.6.6.6	 now *EC 1.7.1.5
EC 1.6.6.7	 now *EC 1.7.1.6
EC 1.6.6.8	 now *EC 1.7.1.7
EC 1.6.6.9	 trimethylamine-N-oxide reductase
EC 1.6.6.10	 now *EC 1.7.1.9
EC 1.6.6.11	 now *EC 1.7.1.10
EC 1.6.6.12	 now *EC 1.7.1.11
EC 1.6.6.13	 now *EC 1.7.1.12
EC 1.6.7.1	 now EC 1.18.1.2
EC 1.6.7.2	 now EC 1.18.1.1
EC 1.6.8.1	 now EC 1.5.1.29
EC 1.6.8.2	 now EC 1.5.1.30
EC 1.6.99.1	 NADPH dehydrogenase
EC 1.6.99.2	 now *EC 1.6.5.2
EC 1.6.99.3	 NADH dehydrogenase
