EC 4.1.1.1	 pyruvate decarboxylase
EC 4.2.99.9	 now EC 2.5.1.48
EC 4.2.99.10	 now EC 2.5.1.49
EC 4.2.99.11	 now EC 4.2.3.3
EC 4.2.99.12	 carboxymethyloxysuccinate lyase
EC 4.2.99.13	 now EC 2.5.1.50
EC 4.2.99.14	 now EC 2.5.1.51
EC 4.2.99.15	 now EC 2.5.1.52
EC 4.2.99.16	 now EC 2.5.1.53
EC 4.2.99.17	 now EC 4.2.99.14
EC 4.2.99.18	 DNA-(apurinic or apyrimidinic site) lyase
EC 4.2.99.19	 transferred entry, now EC 4.4.1.23
EC 4.2.99.20	 2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
EC 4.2.99.21	 isochorismate lyase
EC 4.3.1.1	 aspartate ammonia-lyase
EC 4.3.1.2	 methylaspartate ammonia-lyase
EC 4.3.1.3	 histidine ammonia-lyase
EC 4.3.1.4	 formiminotetrahydrofolate cyclodeaminase
EC 4.3.1.5	 Now divided into EC 4.3.1.23 (tyrosine ammonia-lyase), EC 4.3.1.24 (phenylalanine ammonia-lyase) and EC 4.3.1.25 (phenylalanine/tyrosine ammonia-lyase)
EC 4.3.1.6	 b-alanyl-CoA ammonia-lyase
EC 4.3.1.7	 ethanolamine ammonia-lyase
EC 4.3.1.8	 now EC 2.5.1.61
EC 4.3.1.9	 glucosaminate ammonia-lyase
EC 4.3.1.10	 serine-sulfate ammonia-lyase
EC 4.3.1.11	 dihydroxyphenylalanine ammonia-lyase
EC 4.3.1.12	 ornithine cyclodeaminase
EC 4.3.1.13	 carbamoyl-serine ammonia-lyase
EC 4.3.1.14	 3-aminobutyryl-CoA ammonia-lyase
EC 4.3.1.15	 diaminopropionate ammonia-lyase
EC 4.3.1.16	 threo-3-hydroxyaspartate ammonia-lyase
EC 4.3.1.17	 L-serine ammonia-lyase
EC 4.3.1.18	 D-serine ammonia-lyase
EC 4.3.1.19	 threonine ammonia-lyase
EC 4.3.1.20	 erythro-3-hydroxyaspartate ammonia-lyase
EC 4.3.1.21	 Identical to EC 4.3.1.9
EC 4.3.1.22	 3,4-dihydroxyphenylalanine reductive deaminase
EC 4.3.1.23	 tyrosine ammonia-lyase
EC 4.3.1.24	 phenylalanine ammonia-lyase
EC 4.3.1.25	 phenylalanine/tyrosine ammonia-lyase
EC 4.3.1.26	 chromopyrrolate synthase is now EC 1.21.3.9, dichlorochromopyrrolate synthase
EC 4.3.1.27	 threo-3-hydroxy-D-aspartate ammonia-lyase
EC 4.3.1.28	 L-lysine cyclodeaminase
EC 4.3.2.1	 argininosuccinate lyase
EC 4.3.2.2	 adenylosuccinate lyase
EC 4.3.2.3	 ureidoglycolate lyase
EC 4.3.2.4	 purine imidazole-ring cyclase
EC 4.3.2.5	 peptidylamidoglycolate lyase
EC 4.3.2.6	 gamma-L-glutamyl-butirosin B gamma-glutamyl cyclotransferase
EC 4.3.3.1	 3-ketovalidoxylamine C-N-lyase
EC 4.3.3.2	 strictosidine synthase
EC 4.3.3.3	 deacetylisoipecoside synthase
EC 4.3.3.4	 deacetylipecoside synthase
EC 4.3.3.5	 4'-demethylrebeccamycin synthase
EC 4.3.3.6	 pyridoxal 5'-phosphate synthase (glutamine hydrolyzing)
EC 4.3.3.7	 4-hydroxy-tetrahydrodipicolinate synthase
EC 4.3.99.1	 now EC 4.2.1.104
EC 4.3.99.2	 carboxybiotin decarboxylase
EC 4.3.99.3	 7-carboxy-7-deazaguanine synthase
EC 4.4.1.1	 cystathionine g-lyase
EC 4.4.1.2	 homocysteine desulfhydrase
EC 4.4.1.3	 dimethylpropiothetin dethiomethylase
EC 4.4.1.4	 alliin lyase
EC 4.4.1.5	 lactoylglutathione lyase
EC 4.4.1.6	 S-alkylcysteine lyase
EC 4.4.1.7	 deleted, included in EC 2.5.1.18
EC 4.4.1.8	 cystathionine b-lyase
EC 4.4.1.9	 L-3-cyanoalanine synthase
EC 4.4.1.10	 cysteine lyase
EC 4.4.1.11	 methionine g-lyase
EC 4.4.1.12	 deleted
EC 4.4.1.13	 cysteine-S-conjugate b-lyase
EC 4.4.1.14	 1-aminocyclopropane-1-carboxylate synthase
EC 4.4.1.15	 D-cysteine desulfhydrase
EC 4.4.1.16	 selenocysteine lyase
EC 4.4.1.17	 holocytochrome-c synthase
EC 4.4.1.18	 now EC 1.8.3.5
EC 4.4.1.19	 phosphosulfolactate synthase
EC 4.4.1.20	 leukotriene-C4 synthase
EC 4.4.1.21	 S-ribosylhomocysteine lyase
EC 4.4.1.22	 S-(hydroxymethyl)glutathione synthase
EC 4.4.1.23	 2-hydroxypropyl-CoM lyase
EC 4.4.1.24	 (2R)-sulfolactate sulfo-lyase
EC 4.4.1.25	 L-cysteate sulfo-lyase
EC 4.4.1.26	 olivetolic acid cyclase
EC 4.5.1.1	 DDT-dehydrochlorinase
EC 4.5.1.2	 3-chloro-D-alanine dehydrochlorinase
EC 4.5.1.3	 dichloromethane dehalogenase
EC 4.5.1.4	 L-2-amino-4-chloropent-4-enoate dehydrochlorinase
EC 4.5.1.5	 S-carboxymethylcysteine synthase
EC 4.6.1.1	 adenylate cyclase
EC 4.6.1.2	 guanylate cyclase
EC 4.6.1.3	 now EC 4.2.3.4
EC 4.6.1.4	 now EC 4.2.3.5
EC 4.6.1.5	 now EC 4.2.3.7
EC 4.6.1.6	 cytidylate cyclase
EC 4.6.1.7	 now EC 4.2.3.8
EC 4.6.1.8	 now EC 4.2.3.10
EC 4.6.1.9	 now EC 4.2.3.11
EC 4.6.1.10	 now EC 4.2.3.12
EC 4.6.1.11	 now EC 4.2.3.13
EC 4.6.1.12	 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
EC 4.6.1.13	 phosphatidylinositol diacylglycerol-lyase
EC 4.6.1.14	 glycosylphosphatidylinositol diacylglycerol-lyase
EC 4.6.1.15	 FAD-AMP lyase (cyclizing)
EC 4.6.1.16	 TRNA-intron endonuclease
EC 4.99.1.1	 ferrochelatase
EC 4.99.1.2	 alkylmercury lyase
EC 4.99.1.3	 sirohydrochlorin cobaltochelatase
EC 4.99.1.4	 sirohydrochlorin ferrochelatase
EC 4.99.1.5	 aliphatic aldoxime dehydratase
EC 4.99.1.6	 indoleacetaldoxime dehydratase
EC 4.99.1.7	 phenylacetaldoxime dehydratase
EC 4.99.1.8	 heme ligase
