EC 2.1.1.1	 nicotinamide N-methyltransferase
EC 2.3.1.133	 shikimate O-hydroxycinnamoyltransferase
EC 2.3.1.134	 galactolipid O-acyltransferase
EC 2.3.1.135	 phosphatidylcholine—retinol O-acyltransferase
EC 2.3.1.136	 polysialic-acid O-acetyltransferase
EC 2.3.1.137	 carnitine O-octanoyltransferase
EC 2.3.1.138	 putrescine N-hydroxycinnamoyltransferase
EC 2.3.1.139	 ecdysone O-acyltransferase
EC 2.3.1.140	 rosmarinate synthase
EC 2.3.1.141	 galactosylacylglycerol O-acyltransferase
EC 2.3.1.142	 glycoprotein O-fatty-acyltransferase
EC 2.3.1.143	 b-glucogallin—tetrakisgalloylglucose O-galloyltransferase
EC 2.3.1.144	 anthranilate N-benzoyltransferase
EC 2.3.1.145	 piperidine N-piperoyltransferase
EC 2.3.1.146	 pinosylvin synthase
EC 2.3.1.147	 glycerophospholipid arachidonoyl-transferase (CoA-independent)
EC 2.3.1.148	 glycerophospholipid acyltransferase (CoA-dependent)
EC 2.3.1.149	 platelet-activating factor acetyltransferase
EC 2.3.1.150	 salutaridinol 7-O-acetyltransferase
EC 2.3.1.151	 benzophenone synthase
EC 2.3.1.152	 alcohol O-cinnamoyltransferase
EC 2.3.1.153	 anthocyanin 5-aromatic acyltransferase
EC 2.3.1.154	 propionyl-CoA C2-trimethyltridecanoyltransferase
EC 2.3.1.155	 acetyl-CoA C-myristoyltransferase
EC 2.3.1.156	 phloroisovalerophenone synthase
EC 2.3.1.157	 glucosamine-1-phosphate N-acetyltransferase
EC 2.3.1.158	 phospholipid:diacylglycerol acyltransferase
EC 2.3.1.159	 acridone synthase
EC 2.3.1.160	 vinorine synthase
EC 2.3.1.161	 lovastatin nonaketide synthase
EC 2.3.1.162	 taxadien-5a-ol O-acetyltransferase
EC 2.3.1.163	 10-hydroxytaxane O-acetyltransferase
EC 2.3.1.164	 isopenicillin-N N-acyltransferase
EC 2.3.1.165	 6-methylsalicylic acid synthase
EC 2.3.1.166	 2a-hydroxytaxane 2-O-benzoyltransferase
EC 2.3.1.167	 10-deacetylbaccatin III 10-O-acetyltransferase
EC 2.3.1.168	 dihydrolipoyllysine-residue (2-methylpropanoyl)transferase
EC 2.3.1.169	 CO-methylating acetyl-CoA synthase
EC 2.3.1.170	 6'-deoxychalcone synthase
EC 2.3.1.171	 anthocyanin 6"-O-malonyltransferase
EC 2.3.1.172	 Anthocyanin 5-O-glucoside 6-O-malonyltransferase
EC 2.3.1.173	 flavonol-3-O-triglucoside O-coumaroyltransferase
EC 2.3.1.174	 3-oxoadipyl-CoA thiolase
EC 2.3.1.175	 deacetylcephalosporin-C acetyltransferase
EC 2.3.1.176	 propanoyl-CoA C-acyltransferase
EC 2.3.1.177	 3,5-dihydroxybiphenyl synthase
EC 2.3.1.178	 diaminobutyrate acetyltransferase
EC 2.3.1.179	 beta-ketoacyl-(acyl-carrier-protein) synthase II
EC 2.3.1.180	 beta-ketoacyl-(acyl-carrier-protein) synthase III
EC 2.3.1.181	 lipoyl(octanoyl) transferase
EC 2.3.1.182	 (R)-citramalate synthase
EC 2.3.1.183	 phosphinothricin acetyltransferase
EC 2.3.1.184	 acyl-homoserine-lactone synthase
EC 2.3.1.185	 tropine acyltransferase
EC 2.3.1.186	 pseudotropine acyltransferase
EC 2.3.1.187	 acetyl-S-ACP:malonate ACP transferase
EC 2.3.1.188	 omega-hydroxypalmitate O-feruloyl transferase
EC 2.3.1.189	 mycothiol synthase
EC 2.3.1.190	 acetoin dehydrogenase
EC 2.3.1.191	 UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase
EC 2.3.1.192	 glycine N-phenylacetyltransferase
EC 2.3.1.193	 tRNAMet cytidine acetyltransferase
EC 2.3.1.194	 acetoacetyl-CoA synthase
EC 2.3.1.195	 (Z)-3-hexen-1-ol acetyltransferase
EC 2.3.1.196	 benzyl alcohol O-benzoyltransferase
EC 2.3.1.197	 dTDP-3-amino-3,6-dideoxy-alpha-D-galactopyranose 3-N-acetyltransferase
EC 2.3.1.198	 glycerol-3-phosphate 2-O-acyltransferase
EC 2.3.1.199	 very-long-chain 3-oxoacyl-CoA synthase
EC 2.3.1.200	 lipoyl amidotransferase
EC 2.3.1.201	 UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase
EC 2.3.1.202	 UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine N-acetyltransferase
EC 2.3.1.203	 UDP-4-amino-4,6-dideoxy-N-acetyl-alpha-D-glucosamine N-acetyltransferase
EC 2.3.1.204	 octanoyl-(GcvH):protein N-octanoyltransferase
EC 2.3.1.205	 fumigaclavine B O-acetyltransferase
EC 2.3.1.206	 3,5,7-trioxododecanoyl-CoA synthase
EC 2.3.1.207	 beta-ketodecanoyl-(acyl-carrier-protein) synthase
EC 2.3.1.208	 4-hydroxycoumarin synthase
EC 2.3.1.209	 dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase
EC 2.3.1.210	 dTDP-4-amino-4,6-dideoxy-D-galactose acyltransferase
EC 2.3.1.211	 bisdemethoxycurcumin synthase
EC 2.3.1.212	 benzalacetone synthase
EC 2.3.1.213	 cyanidin 3-O-(6-O-glucosyl-2-O-xylosylgalactoside) 6-O-hydroxycinnamoyltransferase
EC 2.3.1.214	 pelargonidin 3-O-(6-caffeoylglucoside) 5-O-(6-O-malonylglucoside) 4-malonyltransferase
EC 2.3.1.215	 anthocyanidin 3-O-glucoside 6-O-acyltransferase
EC 2.3.1.216	 5,7-dihydroxy-2-methylchromone synthase
EC 2.3.1.217	 curcumin synthase
EC 2.3.1.218	 phenylpropanoylacetyl-CoA synthase
EC 2.3.1.219	 demethoxycurcumin synthase
EC 2.3.1.220	 2,4,6-trihydroxybenzophenone synthase
EC 2.3.1.221	 noranthrone synthase
EC 2.3.1.222	 phosphate propanoyltransferase
EC 2.3.1.223	 3-oxo-5,6-didehydrosuberyl-CoA thiolase
EC 2.3.1.224	 acetyl-CoA-benzylalcohol acetyltransferase
EC 2.3.1.225	 protein S-acyltransferase
EC 2.3.1.226	 carboxymethylproline synthase
EC 2.3.1.227	 GDP-perosamine N-acetyltransferase
EC 2.3.1.228	 isovaleryl-homoserine lactone synthase
EC 2.3.1.229	 4-coumaroyl-homoserine lactone synthase
EC 2.3.1.230	 2-heptyl-4(1H)-quinolone synthase
EC 2.3.1.231	 tRNAPhe (7-(3-amino-3-(methoxycarbonyl)propyl)wyosine37-N)-methoxycarbonyltransferase
EC 2.3.1.232	 methanol O-anthraniloyltransferase
EC 2.3.1.233	 1,3,6,8-tetrahydroxynaphthalene synthase
EC 2.3.1.234	 N6-L-threonylcarbamoyladenine synthase
EC 2.3.1.235	 tetracenomycin F2 synthase
EC 2.3.1.236	 5-methylnaphthoic acid synthase
EC 2.3.1.237	 neocarzinostatin naphthoate synthase
EC 2.3.1.238	 monacolin J acid methylbutanoate transferase
EC 2.3.1.239	 10-deoxymethynolide synthase
EC 2.3.1.240	 narbonolide synthase
EC 2.3.1.241	 Kdo2-lipid IVA lauroyltransferase
EC 2.3.1.242	 Kdo2-lipid IVA palmitoleoyltransferase
EC 2.3.1.243	 lauroyl-Kdo2-lipid IVA myristoyltransferase
EC 2.3.1.244	 2-methylbutanoate polyketide synthase
EC 2.3.1.245	 3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase
EC 2.3.1.246	 3,5-dihydroxyphenylacetyl-CoA synthase
EC 2.3.1.247	 3-keto-5-aminohexanoate cleavage enzyme
EC 2.3.1.248	 spermidine disinapoyl transferase
EC 2.3.1.249	 spermidine dicoumaroyl transferase
EC 2.3.1.250	 Wnt protein O-palmitoleoyl transferase
EC 2.3.1.251	 lipid IVA palmitoyltransferase
EC 2.3.2.1	 D-glutamyltransferase
EC 2.3.2.2	 g-glutamyltransferase
EC 2.3.2.3	 lysyltransferase
EC 2.3.2.4	 g-glutamylcyclotransferase
EC 2.3.2.5	 glutaminyl-peptide cyclotransferase
EC 2.3.2.6	 leucyltransferase
EC 2.3.2.7	 aspartyltransferase
EC 2.3.2.8	 arginyltransferase
EC 2.3.2.9	 agaritine g-glutamyltransferase
EC 2.3.2.10	 UDP-N-acetylmuramoylpentapeptide-lysine N6-alanyltransferase
EC 2.3.2.11	 alanylphosphatidylglycerol synthase
EC 2.3.2.12	 peptidyltransferase
EC 2.3.2.13	 protein-glutamine g-glutamyltransferase
EC 2.3.2.14	 D-alanine g-glutamyltransferase
EC 2.3.2.15	 glutathione g-glutamylcysteinyltransferase
EC 2.3.2.16	 lipid II:glycine glycyltransferase
EC 2.3.2.17	 N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(N6-glycyl)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine glycyltransferase
EC 2.3.2.18	 N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-(N6-triglycine)-D-alanyl-D-alanine-diphosphoundecaprenyl-N-acetylglucosamine:glycine glycyltransferase
EC 2.3.2.19	 ribostamycin:4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoyl-(BtrI acyl-carrier protein) 4-(gamma-L-glutamylamino)-(S)-2-hydroxybutanoate transferase
EC 2.3.3.1	 citrate (Si)-synthase
EC 2.3.3.2	 decylcitrate synthase
EC 2.3.3.3	 citrate (Re)-synthase
EC 2.3.3.4	 decylhomocitrate synthase
EC 2.3.3.5	 2-methylcitrate synthase
EC 2.3.3.6	 2-ethylmalate synthase
EC 2.3.3.7	 3-ethylmalate synthase
EC 2.3.3.8	 ATP citrate synthase
EC 2.3.3.9	 malate synthase
EC 2.3.3.10	 hydroxymethylglutaryl-CoA synthase
EC 2.3.3.11	 2-hydroxyglutarate synthase
EC 2.3.3.12	 3-propylmalate synthase
EC 2.3.3.13	 2-isopropylmalate synthase
EC 2.3.3.14	 homocitrate synthase
EC 2.3.3.15	 sulfoacetaldehyde acetyltransferase
EC 2.4.1.1	 phosphorylase
EC 2.4.1.2	 dextrin dextranase
EC 2.4.1.3	 deleted, included in EC 2.4.1.25
EC 2.4.1.4	 amylosucrase
EC 2.4.1.5	 dextransucrase
EC 2.4.1.6	 deleted
EC 2.4.1.7	 sucrose phosphorylase
EC 2.4.1.8	 maltose phosphorylase
EC 2.4.1.9	 inulosucrase
EC 2.4.1.10	 levansucrase
EC 2.4.1.11	 glycogen(starch) synthase
EC 2.4.1.12	 cellulose synthase (UDP-forming)
EC 2.4.1.13	 sucrose synthase
EC 2.4.1.14	 sucrose-phosphate synthase
EC 2.4.1.15	 a,a-trehalose-phosphate synthase (UDP-forming)
EC 2.4.1.16	 chitin synthase
EC 2.4.1.17	 glucuronosyltransferase
EC 2.4.1.18	 1,4-a-glucan branching enzyme
EC 2.4.1.19	 cyclomaltodextrin glucanotransferase
EC 2.4.1.20	 cellobiose phosphorylase
EC 2.4.1.21	 starch synthase
EC 2.4.1.22	 lactose synthase
EC 2.4.1.23	 sphingosine b-galactosyltransferase
EC 2.4.1.24	 1,4-a-glucan 6-a-glucosyltransferase
EC 2.4.1.25	 4-a-glucanotransferase
EC 2.4.1.26	 DNA a-glucosyltransferase
EC 2.4.1.27	 DNA b-glucosyltransferase
EC 2.4.1.28	 glucosyl-DNA b-glucosyltransferase
EC 2.4.1.29	 cellulose synthase (GDP-forming)
EC 2.4.1.30	 1,3-b-oligoglucan phosphorylase
EC 2.4.1.31	 laminaribiose phosphorylase
EC 2.4.1.32	 glucomannan 4-b-mannosyltransferase
EC 2.4.1.33	 alginate synthase
EC 2.4.1.34	 1,3-b-glucan synthase
EC 2.4.1.35	 phenol b-glucosyltransferase
EC 2.4.1.36	 a,a-trehalose-phosphate synthase (GDP-forming)
EC 2.4.1.37	 fucosylgalactoside 3-a-galactosyltransferase
EC 2.4.1.38	 b-N-acetylglucosaminyl-glycopeptide b-1,4-galactosyltransferase
EC 2.4.1.39	 steroid N-acetylglucosaminyltransferase
EC 2.4.1.40	 glycoprotein-fucosylgalactoside a-N-acetylgalactosaminyltransferase
EC 2.4.1.41	 polypeptide N-acetylgalactosaminyltransferase
EC 2.4.1.42	 deleted, included in EC 2.4.1.17
EC 2.4.1.43	 polygalacturonate 4-a-galacturonosyltransferase
EC 2.4.1.44	 lipopolysaccharide 3-a-galactosyltransferase
EC 2.4.1.45	 2-hydroxyacylsphingosine 1-b-galactosyltransferase
EC 2.4.1.46	 monogalactosyldiacylglycerol synthase
EC 2.4.1.47	 N-acylsphingosine galactosyltransferase
EC 2.4.1.48	 heteroglycan a-mannosyltransferase
EC 2.4.1.49	 cellodextrin phosphorylase
EC 2.4.1.50	 procollagen galactosyltransferase
EC 2.4.1.51	 now covered by EC 2.4.1.101, EC 2.4.1.143, EC 2.4.1.144 and EC 2.4.1.145
EC 2.4.1.52	 poly(glycerol-phosphate) a-glucosyltransferase
EC 2.4.1.53	 poly(ribitol-phosphate) b-glucosyltransferase
EC 2.4.1.54	 undecaprenyl-phosphate mannosyltransferase
EC 2.4.1.55	 now EC 2.7.8.14
EC 2.4.1.56	 lipopolysaccharide N-acetylglucosaminyltransferase
EC 2.4.1.57	 phosphatidylinositol a-mannosyltransferase
EC 2.4.1.58	 lipopolysaccharide glucosyltransferase I
EC 2.4.1.59	 deleted, included in EC 2.4.1.17
EC 2.4.1.60	 abequosyltransferase
EC 2.4.1.61	 deleted, included in EC 2.4.1.17
EC 2.4.1.62	 ganglioside galactosyltransferase
EC 2.4.1.63	 linamarin synthase
EC 2.4.1.64	 a,a-trehalose phosphorylase
EC 2.4.1.65	 3-galactosyl-N-acetylglucosaminide 4-a-L-fucosyltransferase
EC 2.4.1.66	 procollagen glucosyltransferase
EC 2.4.1.67	 galactinol—raffinose galactosyltransferase
EC 2.4.1.68	 glycoprotein 6-a-L-fucosyltransferase
EC 2.4.1.69	 galactoside 2-a-L-fucosyltransferase
EC 2.4.1.70	 poly(ribitol-phosphate) N-acetylglucosaminyl-transferase
EC 2.4.1.71	 arylamine glucosyltransferase
EC 2.4.1.72	 now EC 2.4.2.24
EC 2.4.1.73	 lipopolysaccharide glucosyltransferase II
EC 2.4.1.74	 glycosaminoglycan galactosyltransferase
EC 2.4.1.75	 deleted entry
EC 2.4.1.76	 deleted, included in EC 2.4.1.17
EC 2.4.1.77	 deleted, included in EC 2.4.1.17
EC 2.4.1.78	 phosphopolyprenol glucosyltransferase
EC 2.4.1.79	 galactosylgalactosylglucosylceramide b-D-acetylgalactosaminyltransferase
EC 2.4.1.80	 ceramide glucosyltransferase
EC 2.4.1.81	 flavone 7-O-b-glucosyltransferase
EC 2.4.1.82	 galactinol—sucrose galactosyltransferase
EC 2.4.1.83	 dolichyl-phosphate b-D-mannosyltransferase
EC 2.4.1.84	 deleted, included in EC 2.4.1.17
EC 2.4.1.85	 cyanohydrin b-glucosyltransferase
EC 2.4.1.86	 glucosaminylgalactosylglucosylceramide b-galactosyltransferase
EC 2.4.1.87	 N-acetyllactosaminide 3-a-galactosyltransferase
EC 2.4.1.88	 globoside a-N-acetylgalactosaminyltransferase
EC 2.4.1.89	 deleted, included in EC 2.4.1.69
EC 2.4.1.90	 N-acetyllactosamine synthase
EC 2.4.1.91	 flavonol 3-O-glucosyltransferase
EC 2.4.1.92	 (N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase
EC 2.4.1.93	 now EC 4.2.2.18
EC 2.4.1.94	 protein N-acetylglucosaminyltransferase
EC 2.4.1.95	 bilirubin-glucuronoside glucuronosyltransferase
EC 2.4.1.96	 sn-glycerol-3-phosphate 1-galactosyltransferase
EC 2.4.1.97	 1,3-b-D-glucan phosphorylase
EC 2.4.1.98	 deleted, included in EC 2.4.1.90
EC 2.4.1.99	 sucrose:sucrose fructosyltransferase
EC 2.4.1.100	 2,1-fructan:2,1-fructan 1-fructosyltransferase
EC 2.4.1.101	 a-1,3-mannosyl-glycoprotein 2-b-N-acetylglucosaminyltransferase
EC 2.4.1.102	 b-1,3-galactosyl-O-glycosyl-glycoprotein b-1,6-N-acetylglucosaminyltransferase
EC 2.4.1.103	 alizarin 2-b-glucosyltransferase
EC 2.4.1.104	 o-dihydroxycoumarin 7-O-glucosyltransferase
EC 2.4.1.105	 vitexin b-glucosyltransferase
EC 2.4.1.106	 isovitexin b-glucosyltransferase
EC 2.4.1.107	 deleted, included in EC 2.4.1.17
EC 2.4.1.108	 deleted, included in EC 2.4.1.17
EC 2.4.1.109	 dolichyl-phosphate-mannose-protein mannosyltransferase
EC 2.4.1.110	 tRNA-queuosine b-mannosyltransferase
EC 2.4.1.111	 coniferyl-alcohol glucosyltransferase
EC 2.4.1.112	 a-1,4-glucan-protein synthase (UDP-forming)
EC 2.4.1.113	 a-1,4-glucan-protein synthase (ADP-forming)
EC 2.4.1.114	 2-coumarate O-b-glucosyltransferase
EC 2.4.1.115	 anthocyanidin 3-O-glucosyltransferase
EC 2.4.1.116	 cyanidin-3-rhamnosylglucoside 5-O-glucosyltransferase
EC 2.4.1.117	 dolichyl-phosphate b-glucosyltransferase
EC 2.4.1.118	 cytokinin 7-b-glucosyltransferase
EC 2.4.1.119	 dolichyl-diphosphooligosaccharide—protein glycotransferase
EC 2.4.1.120	 sinapate 1-glucosyltransferase
EC 2.4.1.121	 indole-3-acetate b-glucosyltransferase
EC 2.4.1.122	 glycoprotein-N-acetylgalactosamine 3-b-galactosyltransferase
EC 2.4.1.123	 inositol 3-a-galactosyltransferase
EC 2.4.1.124	 now included with EC 2.4.1.87
EC 2.4.1.125	 sucrose—1,6-a-glucan 3(6)-a-glucosyltransferase
EC 2.4.1.126	 hydroxycinnamate 4-b-glucosyltransferase
EC 2.4.1.127	 monoterpenol b-glucosyltransferase
EC 2.4.1.128	 scopoletin glucosyltransferase
EC 2.4.1.129	 peptidoglycan glycosyltransferase
EC 2.4.1.130	 dolichyl-phosphate-mannose—glycolipid a-mannosyltransferase
EC 2.4.1.131	 glycolipid 2-a-mannosyltransferase
EC 2.4.1.132	 glycolipid 3-a-mannosyltransferase
EC 2.4.1.133	 xylosylprotein 4-b-galactosyltransferase
EC 2.4.1.134	 galactosylxylosylprotein 3-b-galactosyltransferase
EC 2.4.1.135	 galactosylgalactosylxylosylprotein 3-b-glucuronosyltransferase
EC 2.4.1.136	 gallate 1-b-glucosyltransferase
EC 2.4.1.137	 sn-glycerol-3-phosphate 2-a-galactosyltransferase
EC 2.4.1.138	 mannotetraose 2-a-N-acetylglucosaminyltransferase
EC 2.4.1.139	 maltose synthase
EC 2.4.1.140	 alternansucrase
EC 2.4.1.141	 N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase
EC 2.4.1.142	 chitobiosyldiphosphodolichol b-mannosyltransferase
EC 2.4.1.143	 a-1,6-mannosyl-glycoprotein 2-b-N-acetylglucosaminyltransferase
EC 2.4.1.144	 b-1,4-mannosyl-glycoprotein 4-b-N-acetylglucosaminyltransferase
EC 2.4.1.145	 a-1,3-mannosyl-glycoprotein 4-b-N-acetylglucosaminyltransferase
EC 2.4.1.146	 b-1,3-galactosyl-O-glycosyl-glycoprotein b-1,3-N-acetylglucosaminyltransferase
EC 2.4.1.147	 acetylgalactosaminyl-O-glycosyl-glycoprotein b-1,3-N-acetylglucosaminyltransferase
EC 2.4.1.148	 acetylgalactosaminyl-O-glycosyl-glycoprotein b-1,6-N-acetylglucosaminyltransferase
EC 2.4.1.149	 N-acetyllactosaminide b-1,3-N-acetylglucosaminyltransferase
EC 2.4.1.150	 N-acetyllactosaminide b-1,6-N-acetylglucosaminyl-transferase
EC 2.4.1.151	 included with EC 2.4.1.87
EC 2.4.1.152	 galactoside 3-fucosyltransferase
EC 2.4.1.153	 dolichyl-phosphate a-N-acetylglucosaminyltransferase
EC 2.4.1.154	 globotriosylceramide b-1,6-N-acetylgalactosaminyl-transferase
EC 2.4.1.155	 a-1,6-mannosyl-glycoprotein 6-b-N-acetylglucosaminyltransferase
EC 2.4.1.156	 indolylacetyl-myo-inositol galactosyltransferase
EC 2.4.1.157	 1,2-diacylglycerol 3-glucosyltransferase
EC 2.4.1.158	 13-hydroxydocosanoate 13-b-glucosyltransferase
EC 2.4.1.159	 flavonol-3-O-glucoside L-rhamnosyltransferase
EC 2.4.1.160	 pyridoxine 5'-O-b-D-glucosyltransferase
EC 2.4.1.161	 oligosaccharide 4-a-D-glucosyltransferase
EC 2.4.1.162	 aldose b-D-fructosyltransferase
EC 2.4.1.163	 b-galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide b-1,3-acetylglucosaminyltransferase
EC 2.4.1.164	 galactosyl-N-acetylglucosaminylgalactosylglucosyl-ceramide b-1,6-N-acetylglucosaminyltransferase
EC 2.4.1.165	 N-acetylneuraminylgalactosylglucosylceramide b-1,4-N-acetylgalactosaminyltransferase
EC 2.4.1.166	 raffinose—raffinose a-galactosyltransferase
EC 2.4.1.167	 sucrose 6F-a-galactosyltransferase
EC 2.4.1.168	 xyloglucan 4-glucosyltransferase
EC 2.4.1.169	 now EC 2.4.2.39
EC 2.4.1.170	 isoflavone 7-O-glucosyltransferase
EC 2.4.1.171	 methyl-ONN-azoxymethanol b-D-glucosyltransferase
EC 2.4.1.172	 salicyl-alcohol b-D-glucosyltransferase
EC 2.4.1.173	 sterol 3b-glucosyltransferase
EC 2.4.1.174	 glucuronylgalactosylproteoglycan 4-b-N-acetylgalactosaminyltransferase
EC 2.4.1.175	 glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-b-N-acetylgalactosaminyltransferase
EC 2.4.1.176	 gibberellin b-D-glucosyltransferase
EC 2.4.1.177	 cinnamate b-D-glucosyltransferase
EC 2.4.1.178	 hydroxymandelonitrile glucosyltransferase
EC 2.4.1.179	 lactosylceramide b-1,3-galactosyltransferase
EC 2.4.1.180	 lipopolysaccharide N-acetylmannosaminouronosyltransferase
EC 2.4.1.181	 hydroxyanthraquinone glucosyltransferase
EC 2.4.1.182	 lipid-A-disaccharide synthase
EC 2.4.1.183	 a-1,3-glucan synthase
EC 2.4.1.184	 galactolipid galactosyltransferase
EC 2.4.1.185	 flavanone 7-O-b-glucosyltransferase
EC 2.4.1.186	 glycogenin glucosyltransferase
EC 2.4.1.187	 N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-b-D-mannosaminyltransferase
EC 2.4.1.188	 N-acetylglucosaminyldiphosphoundecaprenol glucosyltransferase
EC 2.4.1.189	 luteolin 7-O-glucuronosyltransferase
EC 2.4.1.190	 luteolin-7-O-glucuronide 2"-O-glucuronosyltransferase
EC 2.4.1.191	 luteolin-7-O-diglucuronide 4'-O-glucuronosyltransferase
EC 2.4.1.192	 nuatigenin 3b-glucosyltransferase
EC 2.4.1.193	 sarsapogenin 3b-glucosyltransferase
EC 2.4.1.194	 4-hydroxybenzoate 4-O-b-D-glucosyltransferase
EC 2.4.1.195	 thiohydroximate b-D-glucosyltransferase
EC 2.4.1.196	 nicotinate glucosyltransferase
EC 2.4.1.197	 high-mannose-oligosaccharide b-1,4-N-acetylglucosaminyltransferase
EC 2.4.1.198	 phosphatidylinositol N-acetylglucosaminyltransferase
EC 2.4.1.199	 b-mannosylphosphodecaprenol—mannooligosaccharide 6-mannosyltransferase
EC 2.4.1.200	 now EC 4.2.2.17
EC 2.4.1.201	 a-1,6-mannosyl-glycoprotein 4-b-N-acetylglucosaminyltransferase
EC 2.4.1.202	 2,4-dihydroxy-7-methoxy-2H-1,4-benzoxazin-3(4H)-one 2 -D-glucosyltransferase
EC 2.4.1.203	 trans-zeatin O-b-D-glucosyltransferase
EC 2.4.1.204	 now EC 2.4.2.40
EC 2.4.1.205	 galactogen 6b-galactosyltransferase
EC 2.4.1.206	 lactosylceramide 1,3-N-acetyl-b-D-glucosaminyltransferase
EC 2.4.1.207	 xyloglucan:xyloglucosyl transferase
EC 2.4.1.208	 diglucosyl diacylglycerol synthase
EC 2.4.1.209	 cis-p-coumarate glucosyltransferase
EC 2.4.1.210	 limonoid glucosyltransferase
EC 2.4.1.211	 1,3-b-galactosyl-N-acetylhexosamine phosphorylase
EC 2.4.1.212	 hyaluronan synthase
EC 2.4.1.213	 glucosylglycerol-phosphate synthase
EC 2.4.1.214	 glycoprotein 3-a-L-fucosyltransferase
EC 2.4.1.215	 cis-zeatin O-b-D-glucosyltransferase
EC 2.4.1.216	 trehalose 6-phosphate phosphorylase
EC 2.4.1.217	 mannosyl-3-phosphoglycerate synthase
EC 2.4.1.218	 hydroquinone glucosyltransferase
EC 2.4.1.219	 vomilenine glucosyltransferase
EC 2.4.1.220	 indoxyl-UDPG glucosyltransferase
EC 2.4.1.221	 peptide-O-fucosyltransferase
EC 2.4.1.222	 O-fucosylpeptide 3-b-N-acetylglucosaminyltransferase
EC 2.4.1.223	 glucuronyl-galactosyl-proteoglycan 4-a-N-acetylglucosaminyltransferase
EC 2.4.1.224	 glucuronosyl-N-acetylglucosaminyl-proteoglycan 4-a-N-acetylglucosaminyltransferase
EC 2.4.1.225	 N-acetylglucosaminyl-proteoglycan 4-b-glucuronosyltransferase
EC 2.4.1.226	 N-acetylgalactosaminyl-proteoglycan 3-b-glucuronosyltransferase
EC 2.4.1.227	 undecaprenyldiphospho-muramoylpentapeptide b-N-acetylglucosaminyltransferase
EC 2.4.1.228	 lactosylceramide 4-a-galactosyltransferase
EC 2.4.1.229	 (Skp1-protein)-hydroxyproline N-acetylglucosaminyltransferase
EC 2.4.1.230	 kojibiose phosphorylase
EC 2.4.1.231	 a,a-trehalose phosphorylase (configuration-retaining)
EC 2.4.1.232	 glycolipid 6-a-mannosyltransferase
EC 2.4.1.233	 deleted now EC 2.4.1.115
EC 2.4.1.234	 kaempferol 3-O-galactosyltransferase
EC 2.4.1.235	 cyanidin 3-O-rutinoside 5-O-glucosyltransferase
EC 2.4.1.236	 flavanone 7-O-glucoside 2"-O-b-L-rhamnosyltransferase
EC 2.4.1.237	 flavonol 7-O-b-glucosyltransferase
EC 2.4.1.238	 anthocyanin 3'-O-b-glucosyltransferase
EC 2.4.1.239	 flavonol-3-O-glucoside glucosyltransferase
EC 2.4.1.240	 flavonol-3-O-glycoside glucosyltransferase
EC 2.4.1.241	 digalactosyldiacylglycerol synthase
EC 2.4.1.242	 NDP-glucose—starch glucosyltransferase
EC 2.4.1.243	 6G-fructosyltransferase
EC 2.4.1.244	 N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase
EC 2.4.1.245	 alpha,alpha-trehalose synthase
EC 2.4.1.246	 mannosylfructose-phosphate synthase
EC 2.4.1.247	 beta-D-galactosyl-(1->4)-L-rhamnose phosphorylase
EC 2.4.1.248	 cycloisomaltooligosaccharide glucanotransferase
EC 2.4.1.249	 delphinidin 3',5'-O-glucosyltransferase
EC 2.4.1.250	 D-inositol-3-phosphate glycosyltransferase
EC 2.4.1.251	 GlcA-beta-(1->2)-D-Man-alpha-(1->3)-D-Glc-beta-(1->4)-D-Glc-alpha-1-diphospho-ditrans,octacis-undecaprenol 4-beta-mannosyltransferase
EC 2.4.1.252	 GDP-mannose:cellobiosyl-diphosphopolyprenol alpha-mannosyltransferase
EC 2.4.1.253	 baicalein 7-O-glucuronosyltransferase
EC 2.4.1.254	 cyanidin-3-O-glucoside 2-O-glucuronosyltransferase
EC 2.4.1.255	 protein O-GlcNAc transferase
EC 2.4.1.256	 dolichyl-P-Glc:Glc2Man9GlcNAc2-PP-dolichol alpha-1,2-glucosyltransferase
EC 2.4.1.257	 GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase
EC 2.4.1.258	 dolichyl-P-Man:Man5GlcNAc2-PP-dolichol alpha-1,3-mannosyltransferase
EC 2.4.1.259	 dolichyl-P-Man:Man6GlcNAc2-PP-dolichol alpha-1,2-mannosyltransferase
